Symbol,Company Name,ISIN Code,Series
20MICRONS,20 Microns Limited,INE144J01027,EQ
21STCENMGM,21st Century Management Services Limited,INE253B01015,EQ
360ONE,360 ONE WAM LIMITED,INE466L01038,EQ
3BBLACKBIO,3B Blackbio Dx Limited,INE994E01018,EQ
3MINDIA,3M India Limited,INE470A01017,EQ
3PLAND,3P Land Holdings Limited,INE105C01023,EQ
5PAISA,5Paisa Capital Limited,INE618L01018,EQ
63MOONS,63 moons technologies limited,INE111B01023,EQ
A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,EQ
AAATECH,AAA Technologies Limited,INE0D0U01013,EQ
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,EQ
AAKASH,Aakash Exploration Services Limited,INE087Z01024,EQ
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,EQ
AARON,Aaron Industries Limited,INE721Z01010,EQ
AARTIDRUGS,Aarti Drugs Limited,INE767A01016,EQ
AARTIIND,Aarti Industries Limited,INE769A01020,EQ
AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027,EQ
AARVI,Aarvi Encon Limited,INE754X01016,EQ
AASTHA,Aastha Spintex Limited,INE2FMX01012,EQ
AAVAS,Aavas Financiers Limited,INE216P01012,EQ
ABANSENT,Abans Enterprises Limited,INE365O01028,EQ
ABB,ABB India Limited,INE117A01022,EQ
ABBOTINDIA,Abbott India Limited,INE358A01014,EQ
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,EQ
ABCOTS,A B Cotspin India Limited,INE08PH01015,EQ
ABDL,Allied Blenders and Distillers Limited,INE552Z01027,EQ
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,EQ
ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,EQ
ABMKNO,ABM Knowledgeware Limited,INE850B01026,EQ
ABREL,Aditya Birla Real Estate Limited,INE055A01016,EQ
ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,EQ
ACC,ACC Limited,INE012A01025,EQ
ACCELYA,Accelya Solutions India Limited,INE793A01012,EQ
ACE,Action Construction Equipment Limited,INE731H01025,EQ
ACEINTEG,Ace Integrated Solutions Limited,INE543V01017,EQ
ACGL,Automobile Corporation of Goa Limited,INE451C01013,EQ
ACI,Archean Chemical Industries Limited,INE128X01021,EQ
ACL,Andhra Cements Limited,INE666E01020,EQ
ACMESOLAR,Acme Solar Holdings Limited,INE622W01025,EQ
ACUTAAS,Acutaas Chemicals Limited,INE00FF01025,EQ
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,EQ
