Date,open,high,low,close,volume
2026-08-18T05:30:00+0530,5238.0,5400.0,5225.0,5321.0,612.0
2026-08-19T05:30:00+0530,5322.0,5409.5,5226.0,5327.5,1590.0
2026-08-20T05:30:00+0530,5301.0,5333.5,5278.0,5307.0,606.0
2026-08-21T05:30:00+0530,5306.0,5405.0,5262.5,5395.0,1163.0
2026-08-24T05:30:00+0530,5327.0,5400.0,5296.0,5373.5,654.0
2026-08-25T05:30:00+0530,5363.5,5386.5,5205.0,5328.5,649.0
2026-08-26T05:30:00+0530,5375.0,5375.0,5205.5,5246.0,1726.0
2026-08-27T05:30:00+0530,5248.0,5324.0,5151.0,5176.5,1492.0
2026-08-28T05:30:00+0530,5229.5,5275.0,5175.5,5245.5,780.0
2026-08-31T05:30:00+0530,5275.0,5299.0,5245.5,5266.0,1718.0
2026-09-01T05:30:00+0530,5295.0,5321.0,5255.0,5309.5,501.0
2026-09-02T05:30:00+0530,5319.0,5489.5,5260.5,5420.0,2319.0
2026-09-03T05:30:00+0530,5450.0,5500.0,5303.0,5339.0,1168.0
2026-09-04T05:30:00+0530,5339.0,5474.0,5302.0,5422.5,954.0
2026-09-07T05:30:00+0530,5475.0,5494.5,5280.0,5323.5,2556.0
2026-09-08T05:30:00+0530,5320.0,5351.0,5236.0,5267.5,898.0
2026-09-09T05:30:00+0530,5254.0,5300.5,5223.0,5241.5,644.0
2026-09-10T05:30:00+0530,5266.5,5348.0,5266.5,5306.0,2708.0
2026-09-11T05:30:00+0530,5252.0,5350.5,5252.0,5306.5,976.0
2026-09-15T05:30:00+0530,5311.0,5420.0,5105.5,5137.0,1747.0
2026-09-16T05:30:00+0530,5157.5,5325.0,5104.0,5269.5,3151.0
2026-09-17T05:30:00+0530,5260.5,5395.0,5251.0,5255.0,731.0
