Date,open,high,low,close,volume
2026-08-18T05:30:00+0530,6234.5,6333.5,6234.5,6246.0,91.0
2026-08-19T05:30:00+0530,6250.0,6250.0,6153.0,6201.5,109.0
2026-08-20T05:30:00+0530,6201.0,6289.5,6120.0,6201.0,218.0
2026-08-21T05:30:00+0530,6187.0,6287.0,6127.0,6256.0,203.0
2026-08-24T05:30:00+0530,6287.0,6287.0,6152.5,6184.5,762.0
2026-08-25T05:30:00+0530,6170.0,6170.0,6150.5,6165.0,32.0
2026-08-26T05:30:00+0530,6217.0,6217.0,6126.5,6160.0,157.0
2026-08-27T05:30:00+0530,6162.0,6280.0,6140.0,6248.0,289.0
2026-08-28T05:30:00+0530,6250.0,6350.0,6247.5,6339.5,462.0
2026-08-31T05:30:00+0530,6399.0,6557.0,6280.0,6438.0,1373.0
2026-09-01T05:30:00+0530,6438.0,6700.0,6422.0,6661.5,1001.0
2026-09-02T05:30:00+0530,6630.0,6688.5,6263.0,6474.0,336.0
2026-09-03T05:30:00+0530,6470.0,6600.0,6212.0,6375.0,2123.0
2026-09-04T05:30:00+0530,6445.0,6499.0,6271.0,6332.5,362.0
2026-09-07T05:30:00+0530,6277.0,6490.0,6226.0,6302.0,438.0
2026-09-08T05:30:00+0530,6349.5,6350.0,6206.0,6222.0,252.0
2026-09-09T05:30:00+0530,6206.5,6300.0,6113.5,6149.5,6527.0
2026-09-10T05:30:00+0530,6196.5,6374.5,6151.0,6200.5,4096.0
2026-09-11T05:30:00+0530,6107.5,6300.0,6105.0,6265.0,186.0
2026-09-15T05:30:00+0530,6311.0,6349.0,6111.5,6286.5,372.0
2026-09-16T05:30:00+0530,6309.0,6337.5,6201.0,6319.0,302.0
2026-09-17T05:30:00+0530,6349.0,6349.0,6202.0,6212.5,97.0
2026-09-18T05:30:00+0530,6213.0,6241.5,6195.0,6199.5,151.0
2026-09-21T05:30:00+0530,6207.0,6274.5,6204.0,6215.5,280.0
2026-09-22T05:30:00+0530,6155.5,6250.0,6155.5,6173.5,152.0
2026-09-23T05:30:00+0530,6142.0,6224.5,6140.0,6182.5,138.0
