Date,open,high,low,close,volume
2026-04-20T05:30:00+0530,133969.57493487417,136968.89377669973,130670.32420886608,133749.125,30.0
2026-04-21T05:30:00+0530,133669.5937103865,133669.5937103865,124971.61609456108,128165.7890625,91.0
2026-04-22T05:30:00+0530,128220.87534890667,131170.1585608033,125171.61484628964,126124.3515625,34.0
2026-04-23T05:30:00+0530,126124.34833236292,126950.16073256372,124171.83875895385,124596.9453125,12.0
2026-04-24T05:30:00+0530,124596.65277078887,125566.47936349807,122105.0624500258,124271.7734375,37.0
2026-04-27T05:30:00+0530,126471.31936993005,126471.31936993005,125080.6352588213,125641.7109375,11.0
2026-04-28T05:30:00+0530,123082.58576749696,129970.47414646704,123082.58576749696,126211.328125,21.0
2026-04-29T05:30:00+0530,126072.40911542629,128888.07421540083,124662.33098178067,125534.734375,18.0
2026-04-30T05:30:00+0530,125971.38236447054,126171.33693965225,123972.83638552946,124972.109375,10.0
2026-05-04T05:30:00+0530,124291.76831883471,125741.43904005663,122132.25883066964,123546.9375,17.0
2026-05-05T05:30:00+0530,122967.0700199691,124571.70555297492,122272.22784212546,123756.890625,12.0
2026-05-06T05:30:00+0530,123751.89160430543,125066.59298950226,122572.15956283604,124581.703125,25.0
2026-05-07T05:30:00+0530,125971.38887489926,125971.38887489926,123177.02354231718,124071.8203125,17.0
2026-05-08T05:30:00+0530,122742.1181855532,124071.8161344559,122742.1181855532,123571.9296875,7.0
2026-05-11T05:30:00+0530,123976.84292157444,124171.79864408328,122972.07112095204,123182.0234375,15.0
2026-05-12T05:30:00+0530,123971.84311888403,124271.77499739749,119472.8649411826,120047.734375,24.0
2026-05-13T05:30:00+0530,120072.72723965911,121972.29578050302,117978.20298014964,120247.6875,19.0
2026-05-14T05:30:00+0530,119647.81950251924,121272.45043372115,117973.19992728028,120297.671875,11.0
2026-05-15T05:30:00+0530,120297.6789017733,120297.6789017733,118228.14891775776,118643.0546875,6.0
2026-05-18T05:30:00+0530,119232.9197161963,119972.75168491996,116773.47830665544,118673.046875,15.0
2026-05-19T05:30:00+0530,117478.31638378292,118668.04615270087,115988.65474034788,116463.546875,12.0
2026-05-20T05:30:00+0530,117043.414002686,118473.08925701112,115533.7569159511,118178.15625,14.0
2026-05-21T05:30:00+0530,118768.02166297453,121972.29380767616,118278.13294194368,119172.9296875,10.0
2026-05-22T05:30:00+0530,122472.18429868584,122472.18429868584,119172.9336196192,120772.5703125,7.0
2026-05-25T05:30:00+0530,123971.83673156991,123971.83673156991,119972.74522409993,122462.1796875,21.0
2026-05-26T05:30:00+0530,124911.62744978144,124911.62744978144,119972.74927144048,120072.7265625,25.0
2026-05-27T05:30:00+0530,120072.72501875156,121972.29352446036,119962.75,119962.75,9.0
2026-05-29T05:30:00+0530,120772.5644849605,121972.29194673164,117943.20722095024,118992.96875,19.0
2026-06-01T05:30:00+0530,119572.83807332689,121967.29415347418,117988.19803698722,118688.0390625,26.0
2026-06-02T05:30:00+0530,117978.19844577946,121457.40806055268,116558.52095929156,117923.2109375,33.0
2026-06-03T05:30:00+0530,117473.31613915598,117523.30478432158,116973.4296875,116973.4296875,5.0
2026-06-04T05:30:00+0530,116973.43035169652,118967.97730512932,116273.58931540432,118008.1953125,9.0
2026-06-05T05:30:00+0530,117173.38479872882,118872.99874205508,111644.64061837924,117973.203125,10.0
2026-06-08T05:30:00+0530,118073.17666298187,118073.17666298187,115023.86939099124,116443.546875,13.0
2026-06-09T05:30:00+0530,115278.81759762384,117748.25673266682,115278.81759762384,117468.3203125,11.0
2026-06-10T05:30:00+0530,116968.4317721438,117468.3182278562,116968.4317721438,117218.375,8.0
2026-06-11T05:30:00+0530,117213.3751141602,117373.33877859442,114119.07798026117,114943.890625,11.0
2026-06-12T05:30:00+0530,115453.7748744658,117153.38881009616,115178.837326055,116973.4296875,7.0
2026-06-15T05:30:00+0530,116973.42670358202,118773.01788363712,116973.42670358202,117923.2109375,19.0
2026-06-16T05:30:00+0530,117923.21302612098,118743.02680044416,116493.537785533,118173.15625,5.0
2026-06-17T05:30:00+0530,118473.09240107914,118543.07650629496,116473.54653776978,118123.171875,19.0
2026-06-18T05:30:00+0530,118473.0894922572,118773.0213643895,116478.54254257742,117663.2734375,11.0
2026-06-19T05:30:00+0530,116478.5414695946,116973.42905405404,116473.5426051051,116523.53125,12.0
2026-06-22T05:30:00+0530,116523.53093149116,118338.1187362158,116523.53093149116,116728.484375,9.0
2026-06-23T05:30:00+0530,116548.52461772118,118423.09878592388,115278.8130477919,116278.5859375,51.0
2026-06-24T05:30:00+0530,114873.90844473048,116463.54738665496,113004.3330853602,116018.6484375,12.0
2026-06-25T05:30:00+0530,114973.88546831212,115948.6640625,114508.9910618533,115948.6640625,5.0
2026-06-29T05:30:00+0530,113979.11188773403,114978.88480898956,113474.2265625,113474.2265625,6.0
