Date,open,high,low,close,volume
2025-09-01T05:30:00+0530,19195.416930630345,19315.388286446785,18846.5002374642,18937.478515625,72116
2025-09-02T05:30:00+0530,19065.446929809994,19270.397984902338,18687.537179444593,18810.5078125,67579
2025-09-03T05:30:00+0530,18945.475467268803,19270.39786974175,18935.477854885023,19194.416015625,80666
2025-09-04T05:30:00+0530,19384.371660646466,19415.364260650593,18765.51942185436,18920.482421875,78236
2025-09-05T05:30:00+0530,19035.454641909815,19254.402360742708,18705.533421750664,18845.5,58438
2025-09-08T05:30:00+0530,18975.469205877675,19025.457270171344,18753.522200413772,18846.5,30921
2025-09-09T05:30:00+0530,18935.479517785603,18965.472357570903,18622.554222692317,18841.501953125,55484
2025-09-10T05:30:00+0530,18967.47057060038,19858.25785071871,18905.485372657244,19670.302734375,117264
2025-09-11T05:30:00+0530,19625.31445714171,20280.158113251124,19362.377233390907,19445.357421875,99825
2025-09-12T05:30:00+0530,19615.315572265332,19985.227231885012,19465.351385933027,19906.24609375,80398
2025-09-15T05:30:00+0530,19906.247796588515,20295.154953078545,19849.26140090746,20175.18359375,53200
2025-09-16T05:30:00+0530,20175.18224343653,20288.15526590969,19849.260072407775,19973.23046875,66139
2025-09-17T05:30:00+0530,20095.201367391466,20445.117809112213,19966.23216458582,20104.19921875,76624
2025-09-18T05:30:00+0530,20180.180605354864,20267.159833131227,19295.391909009108,19374.373046875,95102
2025-09-19T05:30:00+0530,19379.373295827856,19675.30264454665,18855.49836769054,19020.458984375,104486
2025-09-22T05:30:00+0530,19112.43595835544,19693.29724892428,18844.499941363272,19081.443359375,86939
2025-09-23T05:30:00+0530,19201.414466389182,19515.339497236113,18873.492778115953,18990.46484375,98133
2025-09-24T05:30:00+0530,19084.442880578183,19145.428318040347,18845.49993707888,18992.46484375,53592
2025-09-25T05:30:00+0530,19084.443228780172,19290.394054131353,18905.485958208028,19198.416015625,49593
2025-09-26T05:30:00+0530,19255.401446962165,19772.2780070909,18950.474269323353,19104.4375,104379
2025-09-29T05:30:00+0530,19295.393600301344,19713.29383475347,18946.476897373617,19242.40625,92371
2025-09-30T05:30:00+0530,19325.38589002,19325.38589002,17855.736781984335,17996.703125,184110
2025-10-01T05:30:00+0530,18045.69192366549,18245.644188747658,17633.79025759623,18129.671875,93564
2025-10-03T05:30:00+0530,18495.584274080145,18545.57233968577,18030.695263947862,18218.650390625,76312
2025-10-06T05:30:00+0530,18265.638301593488,18402.605594823828,18075.68366134703,18198.654296875,45512
