Date,open,high,low,close,volume
2025-09-01T05:30:00+0530,228.79493758378013,233.8682227060878,228.29755728468496,231.903564453125,2820468
2025-09-02T05:30:00+0530,233.27136117924607,238.69280342461576,229.7399580062225,235.907470703125,2357936
2025-09-03T05:30:00+0530,236.23076944239648,240.63257276586103,234.7634915486806,237.3249969482422,1877782
2025-09-04T05:30:00+0530,239.9499969482422,241.1750030517578,236.1000061035156,236.6999969482422,1436874
2025-09-05T05:30:00+0530,236.6999969482422,239.75,235.0,236.6000061035156,2513354
2025-09-08T05:30:00+0530,239.0,242.125,237.5500030517578,238.4499969482422,2288034
2025-09-09T05:30:00+0530,238.5,240.5500030517578,237.1999969482422,237.8999938964844,2195968
2025-09-10T05:30:00+0530,239.5500030517578,245.4750061035156,237.75,238.1499938964844,3423202
2025-09-11T05:30:00+0530,239.1499938964844,239.875,235.125,236.3249969482422,2108586
2025-09-12T05:30:00+0530,237.1000061035156,239.25,231.4499969482422,235.8000030517578,1904984
2025-09-15T05:30:00+0530,235.75,244.7250061035156,235.0,242.0500030517578,3390930
2025-09-16T05:30:00+0530,244.0,249.0,241.4499969482422,242.9499969482422,3399314
2025-09-17T05:30:00+0530,243.9250030517578,244.0249938964844,236.4750061035156,238.3249969482422,2207772
2025-09-18T05:30:00+0530,239.0,240.3999938964844,235.5749969482422,238.0500030517578,2476586
2025-09-19T05:30:00+0530,238.5500030517578,241.5,236.1000061035156,239.8249969482422,1861800
2025-09-22T05:30:00+0530,240.3000030517578,244.3500061035156,237.4750061035156,238.8999938964844,2693598
2025-09-23T05:30:00+0530,246.0,249.1499938964844,222.1999969482422,226.75,1803460
2025-09-24T05:30:00+0530,226.8999938964844,231.3999938964844,214.1000061035156,219.0,1246110
2025-09-25T05:30:00+0530,216.1999969482422,225.25,215.4499969482422,223.1999969482422,1219464
2025-09-26T05:30:00+0530,221.0,222.6000061035156,207.5,210.3999938964844,1878622
2025-09-29T05:30:00+0530,211.1000061035156,220.25,209.5,214.3000030517578,1604081
2025-09-30T05:30:00+0530,214.3999938964844,215.1499938964844,209.0,209.8000030517578,836212
2025-10-01T05:30:00+0530,210.3999938964844,222.3600006103516,210.3999938964844,221.7100067138672,1976439
2025-10-03T05:30:00+0530,223.19000244140625,223.88999938964844,217.5,220.6300048828125,1005428
2025-10-06T05:30:00+0530,220.6300048828125,223.66000366210932,218.66000366210932,219.3500061035156,834033
2025-10-07T05:30:00+0530,218.75,223.2400054931641,218.3000030517578,221.1699981689453,1050183
2025-10-08T05:30:00+0530,221.1000061035156,223.6499938964844,218.38999938964844,221.47999572753903,973806
2025-10-09T05:30:00+0530,220.8999938964844,223.3999938964844,219.1000061035156,222.19000244140625,901131
2025-10-10T05:30:00+0530,222.0,225.83999633789065,220.1300048828125,222.2400054931641,1307710
2025-10-13T05:30:00+0530,220.8500061035156,220.8999938964844,214.8999938964844,215.47999572753903,614824
2025-10-14T05:30:00+0530,216.0,216.7100067138672,211.0,215.4600067138672,744757
2025-10-15T05:30:00+0530,215.0,221.22999572753903,214.0,220.75,515102
